country_name,avg_suicide_rate,avg_population,cluster
Albania,3.502878787878788,236081.3143939394,1
Antigua and Barbuda,0.5529012345679012,6142.679012345679,1
Argentina,10.469327956989249,2784907.0725806453,2
Australia,12.992805555555556,1506604.961111111,2
Azerbaijan,1.8554166666666667,582241.1458333334,3
Bahamas,1.247391304347826,23757.420289855072,3
Belarus,31.075912698412697,783223.380952381,1
Bosnia and Herzegovina,4.617083333333333,305311.7083333333,2
Brazil,5.846021505376344,13054014.913978495,3
Bulgaria,19.48911111111111,644277.661111111,1
